accuracy,balanced_accuracy,precision,recall,f1,roc_auc,true_negative_count,false_positive_count,false_negative_count,true_positive_count,false_positive_rate,false_negative_rate,dataset_id,feature_set,feature_count,train_mode,model,fold,threshold,fixed_train_rows,candidate_train_rows_x,test_rows,test_normal_rows,test_fault_rows,train_groups,test_groups,candidate_train_rows_y,group_overlap_count
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,fixed_only,dummy_most_frequent,4,0.5,55,0,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,0,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,fixed_only,dummy_most_frequent,4,0.6,55,0,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,0,0
0.5333333333333333,0.5,0.0,0.0,0.0,0.5,8,0,7,0,0.0,1.0,fault_with_unknown34,expanded154,154,fixed_only,dummy_most_frequent,5,0.5,51,0,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,0,0
0.5333333333333333,0.5,0.0,0.0,0.0,0.5,8,0,7,0,0.0,1.0,fault_with_unknown34,expanded154,154,fixed_only,dummy_most_frequent,5,0.6,51,0,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,0,0
0.6923076923076923,0.6904761904761905,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7619047619047619,5,2,2,4,0.2857142857142857,0.3333333333333333,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,1,0.5,53,0,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,0,0
0.6923076923076923,0.6904761904761905,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7619047619047619,5,2,2,4,0.2857142857142857,0.3333333333333333,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,1,0.6,53,0,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,0,0
0.75,0.7571428571428571,0.6666666666666666,0.8,0.7272727272727273,0.8285714285714285,5,2,1,4,0.2857142857142857,0.2,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,2,0.5,54,0,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,0,0
0.8333333333333334,0.8285714285714285,0.8,0.8,0.8,0.8285714285714285,6,1,1,4,0.14285714285714285,0.2,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,2,0.6,54,0,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,0,0
0.7333333333333333,0.7410714285714286,0.8333333333333334,0.625,0.7142857142857143,0.7321428571428571,6,1,3,5,0.14285714285714285,0.375,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,3,0.5,51,0,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,0,0
0.7333333333333333,0.7410714285714286,0.8333333333333334,0.625,0.7142857142857143,0.7321428571428571,6,1,3,5,0.14285714285714285,0.375,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,3,0.6,51,0,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,0,0
0.45454545454545453,0.45,0.4,0.4,0.4,0.4,3,3,3,2,0.5,0.6,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,4,0.5,55,0,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,0,0
0.36363636363636365,0.35,0.25,0.2,0.2222222222222222,0.4,3,3,4,1,0.5,0.8,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,4,0.6,55,0,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,0,0
0.5333333333333333,0.5357142857142857,0.5,0.5714285714285714,0.5333333333333333,0.5892857142857143,4,4,3,4,0.5,0.42857142857142855,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,5,0.5,51,0,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,0,0
0.5333333333333333,0.5357142857142857,0.5,0.5714285714285714,0.5333333333333333,0.5892857142857143,4,4,3,4,0.5,0.42857142857142855,fault_with_unknown34,expanded154,154,fixed_only,logistic_balanced,5,0.6,51,0,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,0,0
0.5384615384615384,0.5,0.0,0.0,0.0,0.5,7,0,6,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,1,0.5,53,58,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,58,0
0.5384615384615384,0.5,0.0,0.0,0.0,0.5,7,0,6,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,1,0.6,53,58,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,58,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,2,0.5,54,62,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,62,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,2,0.6,54,62,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,62,0
0.4666666666666667,0.5,0.0,0.0,0.0,0.5,7,0,8,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,3,0.5,51,56,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,56,0
0.4666666666666667,0.5,0.0,0.0,0.0,0.5,7,0,8,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,3,0.6,51,56,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,56,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,4,0.5,55,60,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,60,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,4,0.6,55,60,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,60,0
0.5333333333333333,0.5,0.0,0.0,0.0,0.5,8,0,7,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,5,0.5,51,52,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,52,0
0.5333333333333333,0.5,0.0,0.0,0.0,0.5,8,0,7,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,5,0.6,51,52,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,52,0
0.7692307692307693,0.7619047619047619,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,6,1,2,4,0.14285714285714285,0.3333333333333333,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,1,0.5,53,58,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,58,0
0.7692307692307693,0.7619047619047619,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,6,1,2,4,0.14285714285714285,0.3333333333333333,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,1,0.6,53,58,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,58,0
0.75,0.7571428571428571,0.6666666666666666,0.8,0.7272727272727273,0.8,5,2,1,4,0.2857142857142857,0.2,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,2,0.5,54,62,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,62,0
0.75,0.7571428571428571,0.6666666666666666,0.8,0.7272727272727273,0.8,5,2,1,4,0.2857142857142857,0.2,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,2,0.6,54,62,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,62,0
0.6666666666666666,0.6696428571428572,0.7142857142857143,0.625,0.6666666666666666,0.7857142857142857,5,2,3,5,0.2857142857142857,0.375,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,3,0.5,51,56,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,56,0
0.6666666666666666,0.6696428571428572,0.7142857142857143,0.625,0.6666666666666666,0.7857142857142857,5,2,3,5,0.2857142857142857,0.375,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,3,0.6,51,56,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,56,0
0.7272727272727273,0.7333333333333334,0.6666666666666666,0.8,0.7272727272727273,0.8333333333333334,4,2,1,4,0.3333333333333333,0.2,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,4,0.5,55,60,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,60,0
0.7272727272727273,0.7333333333333334,0.6666666666666666,0.8,0.7272727272727273,0.8333333333333334,4,2,1,4,0.3333333333333333,0.2,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,4,0.6,55,60,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,60,0
0.6666666666666666,0.6607142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7857142857142857,6,2,3,4,0.25,0.42857142857142855,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,5,0.5,51,52,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,52,0
0.6666666666666666,0.6607142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7857142857142857,6,2,3,4,0.25,0.42857142857142855,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,5,0.6,51,52,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,52,0
0.5,0.5,0.0,0.0,0.0,0.5,6,0,6,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,1,0.5,52,0,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,0,0
0.5,0.5,0.0,0.0,0.0,0.5,6,0,6,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,1,0.6,52,0,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,0,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,2,0.5,52,0,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,0,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,2,0.6,52,0,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,0,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,3,0.5,53,0,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,0,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,3,0.6,53,0,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,0,0
0.5,0.5,0.0,0.0,0.0,0.5,7,0,7,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,4,0.5,50,0,14,7,7,1|2|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|23|24|25|26|27|28|30|31,10|11|12|13|22|29,0,0
0.5,0.5,0.0,0.0,0.0,0.5,7,0,7,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,4,0.6,50,0,14,7,7,1|2|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|23|24|25|26|27|28|30|31,10|11|12|13|22|29,0,0
0.6,0.5,0.0,0.0,0.0,0.5,9,0,6,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,5,0.5,49,0,15,9,6,1|2|3|5|6|7|8|10|11|12|13|14|18|19|20|21|22|23|24|25|26|27|29|30,4|9|15|16|17|28|31,0,0
0.6,0.5,0.0,0.0,0.0,0.5,9,0,6,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,5,0.6,49,0,15,9,6,1|2|3|5|6|7|8|10|11|12|13|14|18|19|20|21|22|23|24|25|26|27|29|30,4|9|15|16|17|28|31,0,0
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666667,5,1,1,5,0.16666666666666666,0.16666666666666666,fault_no_event67,compact13,13,fixed_only,logistic_balanced,1,0.5,52,0,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,0,0
0.75,0.75,0.8,0.6666666666666666,0.7272727272727273,0.9166666666666667,5,1,2,4,0.16666666666666666,0.3333333333333333,fault_no_event67,compact13,13,fixed_only,logistic_balanced,1,0.6,52,0,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,0,0
0.9166666666666666,0.9,1.0,0.8,0.8888888888888888,1.0,7,0,1,4,0.0,0.2,fault_no_event67,compact13,13,fixed_only,logistic_balanced,2,0.5,52,0,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,0,0
0.8333333333333334,0.8,1.0,0.6,0.75,1.0,7,0,2,3,0.0,0.4,fault_no_event67,compact13,13,fixed_only,logistic_balanced,2,0.6,52,0,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,0,0
0.7272727272727273,0.7166666666666667,0.75,0.6,0.6666666666666666,0.8666666666666667,5,1,2,3,0.16666666666666666,0.4,fault_no_event67,compact13,13,fixed_only,logistic_balanced,3,0.5,53,0,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,0,0
0.7272727272727273,0.7166666666666667,0.75,0.6,0.6666666666666666,0.8666666666666667,5,1,2,3,0.16666666666666666,0.4,fault_no_event67,compact13,13,fixed_only,logistic_balanced,3,0.6,53,0,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,0,0
0.7857142857142857,0.7857142857142857,0.75,0.8571428571428571,0.8,0.7959183673469388,5,2,1,6,0.2857142857142857,0.14285714285714285,fault_no_event67,compact13,13,fixed_only,logistic_balanced,4,0.5,50,0,14,7,7,1|2|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|23|24|25|26|27|28|30|31,10|11|12|13|22|29,0,0
0.7857142857142857,0.7857142857142857,0.75,0.8571428571428571,0.8,0.7959183673469388,5,2,1,6,0.2857142857142857,0.14285714285714285,fault_no_event67,compact13,13,fixed_only,logistic_balanced,4,0.6,50,0,14,7,7,1|2|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|23|24|25|26|27|28|30|31,10|11|12|13|22|29,0,0
0.8,0.7777777777777777,0.8,0.6666666666666666,0.7272727272727273,0.7962962962962963,8,1,2,4,0.1111111111111111,0.3333333333333333,fault_no_event67,compact13,13,fixed_only,logistic_balanced,5,0.5,49,0,15,9,6,1|2|3|5|6|7|8|10|11|12|13|14|18|19|20|21|22|23|24|25|26|27|29|30,4|9|15|16|17|28|31,0,0
0.8,0.75,1.0,0.5,0.6666666666666666,0.7962962962962963,9,0,3,3,0.0,0.5,fault_no_event67,compact13,13,fixed_only,logistic_balanced,5,0.6,49,0,15,9,6,1|2|3|5|6|7|8|10|11|12|13|14|18|19|20|21|22|23|24|25|26|27|29|30,4|9|15|16|17|28|31,0,0
0.5,0.5,0.0,0.0,0.0,0.5,6,0,6,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,1,0.5,52,58,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,58,0
0.5,0.5,0.0,0.0,0.0,0.5,6,0,6,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,1,0.6,52,58,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,58,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,2,0.5,52,60,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,60,0
0.5833333333333334,0.5,0.0,0.0,0.0,0.5,7,0,5,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,2,0.6,52,60,12,7,5,1|2|3|4|6|7|8|9|10|11|12|13|14|15|16|17|18|21|22|23|25|27|28|29|30|31,5|19|20|24|26,60,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,3,0.5,53,56,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,56,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,3,0.6,53,56,11,6,5,3|4|5|6|8|9|10|11|12|13|14|15|16|17|19|20|21|22|24|25|26|28|29|31,1|2|7|18|23|27|30,56,0
0.5,0.5,0.0,0.0,0.0,0.5,7,0,7,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,4,0.5,50,58,14,7,7,1|2|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|23|24|25|26|27|28|30|31,10|11|12|13|22|29,58,0
0.5,0.5,0.0,0.0,0.0,0.5,7,0,7,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,4,0.6,50,58,14,7,7,1|2|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|23|24|25|26|27|28|30|31,10|11|12|13|22|29,58,0
0.6,0.5,0.0,0.0,0.0,0.5,9,0,6,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,5,0.5,49,56,15,9,6,1|2|3|5|6|7|8|10|11|12|13|14|18|19|20|21|22|23|24|25|26|27|29|30,4|9|15|16|17|28|31,56,0
0.6,0.5,0.0,0.0,0.0,0.5,9,0,6,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,5,0.6,49,56,15,9,6,1|2|3|5|6|7|8|10|11|12|13|14|18|19|20|21|22|23|24|25|26|27|29|30,4|9|15|16|17|28|31,56,0
0.75,0.75,0.8,0.6666666666666666,0.7272727272727273,0.888888888888889,5,1,2,4,0.16666666666666666,0.3333333333333333,fault_no_event67,compact13,13,candidate_normal_train,logistic_balanced,1,0.5,52,58,12,6,6,1|2|4|5|7|9|10|11|12|13|15|16|17|18|19|20|22|23|24|26|27|28|29|30|31,3|6|8|14|21|25,58,0
